0	1	2	3
zh	contradiction	循着烟气追根溯源，就会发现，门诊咨询台设置有2个熏艾盒、预检分诊台设置 ... 就有着广泛的应用，不少古文献有关于艾叶烟熏治疗和预防疾病的记载。 ... 广东省深圳市宝安纯中医治疗医院药学部教授梅全喜研究发现，艾叶烟熏可以在室内 ... 需要特别说明的是，艾烟对新冠肺炎的防治仅作为辅助防控作用，可用于 ...	熏艾可以预防新冠肺炎
zh	contradiction	因为中国乃至全世界疫情的发展，WHO决定再次召开会议，决定是不是要把这次疫情列入PHEIC修改或延续此类临时建议，此时也可按需要发布旨在 ...	中国被列入「疫区国」
zh	entailment	当地时间 5 月 2 日，莫斯科市长索比亚宁在接受媒体采访时表示，莫斯科大概有 2000 名医务工作者感染过新冠病毒，目前尚有千人左右正处于感染状态	莫斯科约 2000 名医务工作者感染新冠病毒
zh	entailment	在位于武汉东西湖区的舵落口港，岸边五个泊位都停靠着货船，吊机正在把一包包工业盐从船上吊装上货车，准备运往孝感的化工企业	湖北货运港口复工 吞吐量逐步恢复疫前水平
zh	entailment	南非当地时间4月7日，南非旅游部发布公告称，相关旅游企业可以在2020年4月7日至2020年5月30日期间向旅游救济基金会提出救济申请	南非开始向旅游相关公司发放救济金
zh	entailment	各相关学校必须科学规划，全面做好停课不停学线上教学组织工作，采取各种方式加强线上教学管理，确保教学质量	吉林市已经复学的年级一律转为网上授课
zh	neutral	自述有支气管扩张病史，长期咳嗽、咳痰，回国前曾服用沐舒坦三天，症状 ... 经过近3个月的努力，北京疫情防控形势总体趋稳向好，但境外疫情呈现 ...	沐舒坦可以防止新冠肺炎
zh	entailment	为确保防疫安全，代表委员们取消了以往出发前的合影环节，全部戴着口罩，分成多个小组有序乘车，在抵达机场后直接安检登机，机上座位也保持一定间隔	澳门特区全国人大代表和全国政协委员启程赴京
zh	contradiction	” 回答：“大蒜是一种健康 ...	吃大蒜可以杀灭新冠病毒吗
zh	entailment	境外来（返）肥人员的家庭成员、亲属或邀请单位、接待单位、用工单位掌握到境外人员来（返）肥的信息后，应当第一时间报告，所有14日内有境外旅居史的人员抵达合肥后，应在1小时内向所在地疫情防控应急指挥部报告，积极配合属地防疫部门落实防控措施	安徽合肥14日内有境外旅居史人员实施集中隔离 食宿费用自理
zh	contradiction	健康时报微博消息，2月25日，据媒体报道，天津大学生命科学学院黄金海教授团队宣布已经成功研发出新型冠状病毒口服疫苗，甚至有媒体将标题改 ...	新冠肺炎疫苗已研制成功
zh	contradiction	（北京26日综合电）有人日前在网络上指出，此次武汉的新型冠状病毒，被命名为“SARI”。美国加州大学圣迭戈分校呼吸病学和危重症医学科主治医师 ...	新冠病毒定名为 SARI
zh	entailment	医疗队共48人，主要由重症医学科医生和护士组成，是该校继昨日选派22名医护人员支援牡丹江康安医院后，又一批派往牡丹江的医疗队	抗疫再出发！哈尔滨医科大学第三批支援牡丹江医疗队启程
zh	contradiction	丁香医生辟谣：目前尚 ...	含姜片可以预防新冠病毒
zh	entailment	然而，从医生防护设备到病人监测仪器，许多抗疫必需品依然在白宫对华加征关税清单中	CGTN记者王冠：对华关税正拖累美国抗“疫”
zh	entailment	“治疗期间，有一晚我痛得睡不着觉，医生护士们便轮流陪伴我、安慰我	治愈率99.6%是怎样做到的
zh	entailment	科莫说，中国出现疫情后，美国发布针对中国的旅行禁令，可对欧洲却继续敞开大门，针对欧洲的旅行禁令直到3月中旬才出台，这相当于“关上了前门、却给病毒留下了后门”	美国纽约州长：病毒从欧洲传入本地 而非中国
zh	entailment	这答案，为我国迅速扭转疫情防控局面、从而夺取抗疫斗争的完全胜利作出了湖南贡献，也为全球抗疫斗争的中国方案、中国智慧贡献了湖南力量	治愈率99.6%是怎样做到的
zh	entailment	目前，土耳其最大的三个城市，伊斯坦布尔、安卡拉、伊兹密尔还没有强制要求民众出门必须佩戴口罩	土耳其 23 个省实施强制口罩令，不佩戴口罩者将被处以行政罚款
zh	neutral	2月6日，据报道，一名患有新型冠状病毒（2019-nCoV） ...	怀孕后确诊新冠肺炎，孩子不能要
zh	entailment	当地时间4月4日，中国驻阿联酋大使馆、驻迪拜总领馆下半旗，向抗击新冠肺炎疫情斗争牺牲的烈士和逝世同胞表示深切哀悼	中国驻阿联酋大使馆、驻迪拜总领馆下半旗 深切悼念新冠肺炎疫情牺牲烈士和逝世同胞
zh	contradiction	岩松辟谣抽烟喝酒抗病毒：饮高度酒没病的容易把自己喝死 ... 就开始说了，抽烟对抵抗2003年的SARS起了作用的，这一次抵抗新型的冠状病毒的这个肺炎 ... 李兰娟院士在杭州，75%，75度的酒精是能够杀灭这个病毒的，可没说喝。	喝高度酒能抵抗新冠病毒
zh	entailment	有媒体称截至目前，至少有上百位医生护士倒在了一线	英国民众将为牺牲的医护人员默哀
zh	entailment	其中在日本本土感染新冠肺炎死亡的有5人，在“钻石公主”号邮轮上感染新冠肺炎死亡的有6人，共计死亡人数达到11人	日本新冠肺炎感染者945人
zh	entailment	但是研究团队表示对于轻症感染者的免疫应答机制依然不清楚	巴斯德研究所发现多数新冠肺炎轻症患者数周内也可获得免疫能力
zh	neutral	“无症状感染者会不会导致疫情反弹，更重要的是取决于防控工作的态度和能力。如果不重视，即使只有少量的无症状感染者，也可能会造成疾病传播； ...	无症状患者也会传播新冠病毒
zh	contradiction	】 丁香医生团队辟谣：或许可以调节心情，但并不能预防新冠肺炎。 精油是一般是从天然植物中，通过一些 ...	精油芳疗可以预防新冠肺炎
zh	contradiction	爱锐网 02-08 16:50. 每天学习并分享一个防疫小知识！ 电吹风 面部 知识 对手. 声明：该文观点仅代表作者本人， ...	电吹风对手和面部吹30秒能消毒
zh	contradiction	N95口罩只要不是变形严重，遇到别人对你打喷嚏，是可以佩戴3天的，第三天还有94%的防御效力，用了7天的N95口罩用吹风机吹或酒精消毒可继续用。	用了7天的N95口罩消毒可继续用
zh	contradiction	近日，许多黑龙江网民在微信群中看到哈尔滨“SK5病毒”致人死亡谣言：“黑龙江省哈尔滨市第一医院：昨天凌晨2点23分，3名男女生感染SK5病毒 ...	十三名男女生感染 sk5 病毒
zh	entailment	密切接触者当日解除医学观察682人，正在观察1613人	云南无新增确诊，累计172
zh	entailment	记者从交通运输部了解到，经国务院同意，恢复全国收费公路收费	5月6日零时起恢复全国收费公路收费
zh	entailment	专家组包括感染防控、重症监护、流行病、实验室检测等多个领域医护人员	中国抗疫医疗专家组抵达老挝
zh	entailment	五一假期第一天，全国假日旅游市场总体运行平稳，A 级旅游景区开放 8498 家，约占总数的 70%	五一假期首日，全国接待国内游客 2319.7 万人次
zh	entailment	4月4日，中国驻英国使馆为抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞举行悼念活动	中国驻英国使馆为抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞举行悼念活动
zh	neutral	最新发现，新冠病毒不仅伤肺，甚至还可能伤肾、伤睾丸，影响男性患者生育能力。南京医科大学附属苏州医院王建清团队的研究发现，新冠病毒可能 ...	新冠病毒可能伤睾丸和伤肾
zh	neutral	丁香医生团队：交流要保持距离；尚未证实新冠病毒可以通过空气传播。 详情：一般情况下，飞沫传播只有与传染 ...	喷嚏一打几米远，病毒可悬浮24H
zh	entailment	随着疫情防控和经济社会发展的统筹推进，国内航空业复苏步伐加快，继续保持恢复性增长，旅客出行意愿增强，航空公司持续增加国内航班运力投放	九成国内航班恢复 上海虹桥机场国内航班量环比增长超50%
zh	contradiction	若出现新型冠状病毒感染的肺炎可疑症状，如发热、咳嗽、咽痛、胸闷、呼吸困难、...九十五、误区22:桑拿、汗蒸能预防新型冠状病毒感染桑拿房内温度的确较高，但.	桑拿、汗蒸能预防新冠病毒
zh	contradiction	日前，青岛部分微信群中开始“2020年1月27日起，公交线路停运安排调整”的消息。 1月27日晚间，青岛市交通运输局进行官方辟谣。目前，青岛市市 ...	青岛公交线路停运安排调整
zh	entailment	当地时间4月4日早，中国驻保加利亚共和国大使馆下半旗志哀，深切悼念新冠肺炎疫情牺牲烈士和逝世同胞	中国驻保加利亚大使馆下半旗志哀 深切悼念新冠肺炎疫情牺牲烈士和逝世同胞
zh	entailment	耿爽表示，新冠病毒完全是一场天灾，中国和美国一样都是病毒受害者	特朗普称有方法惩罚中国 外交部：这种说法没有法律依据
zh	contradiction	听听专家怎么说！，西瓜视频为您提供高清视频，画面清晰、播放流畅，看丰富、高质量视频就上西瓜视频。	熏艾可以预防新冠
zh	entailment	这些必需工作者包括，所有超市、餐厅、运输和送货等必需行业的员工，如有发烧、咳嗽等新冠症状即可在市政府指定网站进行预约，预约成功后，可前往规定的的两个病毒检测站点进行检测	美国加州旧金山：所有必需工作者都可以接受新冠病毒检测
zh	entailment	他说，中国等抗疫经验丰富的国家分享经验能帮助其他国家强化应对疫情的能力，中国的做法是“值得鼓励和支持的”	世卫组织官员赞赏中国积极分享经验
zh	entailment	当地时间6日晚，哈萨克斯坦总统托卡耶夫的新闻秘书别热克·瓦里，在社交媒体发文表示自己确诊新冠肺炎，正在接受治疗	哈萨克斯坦总统新闻秘书确诊新冠肺炎
zh	contradiction	昨晚一直到后半夜，江苏自北向南阴有雨夹雪转雪，其中沿淮及东南部地区可达中雪，局部大雪，例如南京、盐城、淮安等地雨雪还是比较明显的。	千万别出门玩雪，会感染新冠病毒
zh	contradiction	是时候彻底反思“吃野味”了【阅读提示】中国疾控中心：新型冠状病毒来源野生动物， ... 光明网评论员：当前，举国上下在抗击新型冠状病毒感染的肺炎疫情。 ... 别再炫耀自己是个无所不吃的“吃货”了，也别再炫耀当地菜肴是如何创造性地 ... 链将会呈现新的态势和发展趋势，但全球化和全球价值链的本质和核心不会变。	不吃野味就不会被感染
zh	neutral	---目前新冠病毒的主要传播方式仍以飞沫和接触传播为主，戴口罩、注意咳嗽礼仪和保持手卫生可有效预防病毒 ...	地铁票会传播新冠病毒
zh	entailment	据日本放送协会（NHK）报告，据相关人士透露，为努力削减延期至2021年夏季的东京奥运会及残奥会的举办经费，东京奥组委已着手对100多个项目进行重新梳理	进一步削减经费 东京奥组委对100多个项目进行重新梳理
zh	neutral	用了7天的KN95/N95口罩消毒后可继续使用?不可以。口罩一般情况下是一次性使用的，在特殊情况下(比如口罩供应不足)，KN95/N95口罩可以在严格限定的条件下“ ...	N95 口罩消毒可继续用
zh	entailment	项目全部投产后，每天可生产医用口罩原料18吨，这些原料可生产1800万片医用平面口罩	全国又一大型医用口罩材料基地投产 可日产1800万片医用口罩原料
zh	entailment	而在疫情期间，儿童接种部分免疫规划疫苗可以酌情推迟	卫健委：疫情期间 儿童接种部分免疫规划疫苗可酌情推迟
zh	entailment	3月26日，记者从多家航空公司获悉，截至当日，云南仅有昆明—万象、曼谷，西双版纳—清迈、清莱等几条国际航线在飞，洲际航线全部暂停，严防境外疫情输入	云南多条国际航线取消 洲际航线全部暂停
zh	contradiction	南京封城与杭州封城，大体差不多，前者八条措施，后者十条措施。南京市政府的通告称，为全力应对新型冠状病毒肺炎感染，疫情，即日起全面实施 ...	南京封城、封路
zh	entailment	高峰表示，从近期摸底调研情况来看，外贸企业依然面临在手订单取消或延期、新订单签约困难、物流不畅等诸多困难	商务部：五大举措帮助外贸企业应对国际疫情影响
zh	entailment	家庭使用和 ... 不少人认为，酒精只有遇明火才会燃烧，其实不当使用，如在室内密闭的环境中，喷洒浓度达到3%，哪怕是衣服静电、用电蚊拍或者有人抽烟，也可能引起爆炸。 75%的 ... 在消毒过程中应避免洒漏，空气中浓度不超过3%，并保持室内通风，以防止火灾发生。	别往空气中喷撒酒精，会爆炸
zh	neutral	周围几米的人都可以随之做出自我保护动作——远离或捂脸。 从流体力学的角度看，打喷嚏是一个剧烈的雾化（atomization）过程。 ... 这种在气体中稳定分散悬浮的液态或固体小颗粒叫做气溶胶（aerosol）[3]。 ... 早在1982年Bean等[8]就发现流感病毒在硬且光滑的表面可以存活24-48小时，但在皮肤上5分钟内病毒的 ...	喷嚏可以打几米远，病毒可悬浮24小时
zh	entailment	为有效防控疫情，共同维护公共卫生与健康，发布会采用网络视频形式进行	两会采访方式有变化！网络视频采访成为大会新亮点
zh	contradiction	因为这次疫情持续时间较长，再过一阵子，之前我们囤的口罩基本也会用完了。家里的食物也基本消耗干净了，我们要去超市买菜啊~，即使叫外卖也 ...	买不到口罩可以自制
zh	entailment	中国支持各国就新冠肺炎疫情加强信息分享，交流防控有益经验和做法，开展疫苗药物研发等领域国际合作	外交部：新冠病毒疫苗研发不是中美之争 而是人类与病毒之争
zh	entailment	自 2 月 29 日以来，中国已向 17 个国家派出 19 支医疗专家组	万里驰援，同舟共济！我国已派出 19 支国家医疗队出征海外
zh	entailment	当地时间5月1日上午，马来西亚总理毛希丁宣布，全国餐饮业者可以从下周一（5月4日）起重启餐饮服务	疫情趋稳定 马来西亚宣布5月4日起全面恢复餐饮业正常运作
zh	contradiction	前不久，一款号称在家就可以自测是否感染了新冠病毒的检验试剂盒悄悄在微信朋友圈中露面。卖家宣称，在家指尖采血后，只需要15分钟，就能用自 ...	可在家使用新冠病毒试剂盒自测
zh	contradiction	浙江广播电视集团新媒体，整合浙江卫视在内的18个广播电视频道的优势资源， 打造“浙江第一视频门户”，为网民提供互联网、通信网、电视网三网 ...	吃果蔬和肉蛋会感染新冠病毒
zh	neutral	打个喷嚏，病毒真的可以悬浮24小时? ... 月31日 - 浙江辟谣网据丁香医生消息:近日有传言称，喷嚏一打几米远，病毒可悬浮一天。	喷嚏一打几米远，病毒可悬浮24小时
zh	entailment	新冠肺炎疫情在全球持续蔓延	外交部提醒海外中国公民避免跨境流动
zh	contradiction	冠状病毒、腺病毒、流感病毒、禽流感病毒、巨细胞病毒、合胞病毒等。 ... 肺炎疫苗名称中的“价”是指这个疫苗能预防多少肺炎链球菌亚型，13价就是 ... 鉴于此次肺炎为病毒性肺炎，以飞沫传播为主，普通的医用外科口罩就可以起到 ...	普通肺炎的疫苗能预防新冠病毒
zh	entailment	当地时间5月18日，英国卫生部门调整新冠肺炎居家隔离指南，正式建议出现丧失嗅觉或味觉症状的民众自我隔离	英国增加新冠肺炎潜在症状 建议丧失嗅觉或味觉民众居家隔离
zh	entailment	调查显示，大多数德国民众对默克尔所领导的内阁应对新冠肺炎疫情的表现表示满意	德国总理默克尔满意度此任期内创新高
zh	contradiction	我来告诉你真相 ！返回搜狐， ...	深呼吸再憋十秒可测是否有肺炎
zh	contradiction	2020年2月5日国家卫生健康委员会发布了《新型冠状病毒感染的肺炎 ... 病防治法》规定的乙类传染病，并采取甲类传染病的预防、控制措施。 ... 征相关冠状病毒及这次的新型冠状病毒可引起肺炎、甚至重症肺炎，且可在人际间传播。 ... 在可试用α-干扰素雾化吸入、洛匹那韦/利托那韦基础上，增加“或可加用利巴韦林”。	吃利巴韦林可以预防新冠病毒
zh	entailment	中国赴菲抗疫医疗专家组一行12人，于4月5日抵达菲律宾	中国赴菲专家组完成任务启程回国 菲外长：这是有钱也买不来的中国经验
zh	entailment	就赤几方关心的新冠肺炎诊治、快速检测、患者追踪、药物使用、护理等方面问题进行全面解答	中国抗疫医疗专家组再次同赤几方进行工作交流
zh	contradiction	电吹风对手和面部吹30秒能消毒?是资讯类高清视频，于2020-02-11上映，视频画面清晰，播放流畅，内容质量高。视频主要内容：电吹风对手和面部吹30秒能消毒?。。	电吹风对手和面部吹 30 秒能消毒
zh	entailment	中国工程院副院长 中国医学科学院院长 王辰：一是口罩还要戴上，目前情况下，可能还有遇到一些有传染性的情况	五一期间个人防护要点：在景区游览要注意体温变化 口罩要戴
zh	entailment	当地时间4日上午8时，中国驻意大利使馆升国旗仪式后，举行了下半旗仪式，并默哀三分钟，以表达全国各族人民对抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞的深切悼念	中国驻意大利使馆下半旗志哀 深切悼念新冠肺炎疫情牺牲烈士和逝世同胞
zh	entailment	理论上来说，家中可以使用 ...	紫外线消毒灯能杀灭新冠病毒
zh	contradiction	溯源的目的是为了从源头上切断病毒传播链、打好疫情防控全球战“疫”、防止病毒 ... 伦敦大学学院遗传学研究所的研究团队分析了来自全球新冠病毒感染者的 ... 对于比中国发现更早的病例并不吃惊，该病毒的第一例感染95%的可能性是 ... 新冠肺炎患者身上提取的病毒进行基因分析后发现，新冠病毒在欧洲和美国等 ...	第一例新冠肺炎患者来自美国
zh	neutral	未戴口罩，与患者买菜接触15秒被感染浙江发布两起瞬间感染病例2月5日和6日，浙江杭州和宁波发布瞬间感染病例：一人出门买菜，和一确诊者在同 ...	15 秒未戴口罩接触病患被感染
zh	contradiction	... 郭醫師稱大蒜水及紫洋蔥水只適用風寒型的流感，即是咳嗽、鼻水及痰都是清， ...	红糖和姜葱蒜熬水喝可防新冠病毒
zh	entailment	根据武汉市交通运输局的部署，受疫情影响暂停服务近100天的多家网约车平台，昨天（4月30日）在武汉重启运营	武汉网约车业务重启 司机：复工代表希望 未来会更好
zh	entailment	印度驻中国大使唐勇胜（Vikram Misri)）18日在个人社交账户上发文称，第二批30万只快检试剂盒已经从中国广州起飞运往印度	第二批30万只快检试剂盒从中国运抵印度 15分钟内可出结果
zh	contradiction	普通感冒是由多种病毒比如鼻病毒、呼吸道合胞病毒、腺病毒、冠状病毒和副流感病毒 ... 关于利巴韦林用于呼吸道合胞病毒引起的普通感冒治疗 ... 明用于流行性感冒的预防与治疗，根据合理应用抗流行性感冒病毒药物治疗流行性感冒 ...	吃利巴韦林可以预防新冠病毒
zh	entailment	声明中说，截至4月24日，回国的土耳其公民中，还有超过2.3万人在学生宿舍隔离	自疫情暴发以来，土耳其已撤侨4万多人
zh	contradiction	丁香医生辟谣：真没必要用这样的方式去检查有没有肺炎。 17.jpg. 分享到： ...	深呼吸再憋十秒可测是否有肺炎
zh	entailment	【战疫58天，李兰娟院士医疗队告别武汉】今天，李兰娟院士医疗队启程离汉	战疫58天，李兰娟院士医疗队告别武汉
zh	entailment	约翰逊表示，目前自己正在隔离中，但会通过视频会议等方式继续领导政府抗击新冠肺炎疫情工作	英国首相确诊
zh	contradiction	方法一：室内空气、器具表面消毒，可以采用烧艾的办法，将艾条点燃，置于玻璃 ...	熏艾可以预防新冠
zh	entailment	这是目前意大利境内研发的候选疫苗中，进展最快的一个	意大利研发新冠疫苗动物实验产生有效抗体
zh	contradiction	「辟谣吧」桑拿、汗蒸不能预防新冠病毒，本视频由中国青年报提供，9953次播放，好看视频是由百度团队打造的集内涵和颜值于一身的专业短视频聚合 ...	桑拿、汗蒸能预防新冠病毒
zh	contradiction	中医预防疫病特别重视安全有效且便于普及的外治方法，穴位艾灸是中医针灸重要的保健方法之一，可提高人体自身的抗病能力，有助于预防新冠 ...	熏艾可以预防新冠肺炎
zh	contradiction	对于网传“武汉华南海鲜市场老板是余甜，她的公公是湖北省政协副主席郑心穗”的消息。湖北政协28日在微信公号上发辟谣文章称，切勿轻信谣言。	华南海鲜老板是政协原副主席儿媳
zh	contradiction	台风离去，市奥体中心今天恢复开放了哦 ...	有人在身上喷消毒水烧着了
zh	entailment	这是菲卫生部为抗击新冠肺炎疫情从中国采购的第一批医疗防护物资，剩余批次将于4月6日到4月24日陆续抵达	菲律宾从中国购买的医疗防护用品运抵马尼拉
zh	contradiction	事實上全球使用「SARI」這個名詞很久了，主要指需住院的肺炎，另外訊息相關病徵描述都是沒有根據的，切勿隨意轉傳造成恐慌，務必以中央流行疫情 ...	新冠病毒定名为 SARI
zh	contradiction	要分情况，对于一般小区的居民，能开窗通风。要减少悬浮的气溶胶的影响，适当的通风 ...	空气里有气溶胶，绝不能开窗通风
zh	entailment	此前有媒体报道指出，新冠肺炎患者痊愈后，血浆对现症患者有治疗 ... 经过严格的血液生物安全性检测，病毒灭活，抗病毒活性检测等，已成功 ... 据中国生物表示，“我们用康复者特异血浆临床治疗11例危重病人，治疗 ... 根据招商证券研报测算，假如2月底复工，将丧失近1个月的采浆期，有可能采浆量收缩8%左右。	康复者血液有可能治好新冠肺炎
zh	entailment	呼吸与危重症医学专家、中国工程院副院长王辰19日在接受央视采访时表示，新冠病毒有长期存在的可能性 ...	新冠病毒可能会长期存在
zh	contradiction	深呼吸再憋十秒不能检测出是否有新冠肺炎。新冠肺炎患者会发热、咳嗽、乏力、呼吸急促，甚至喘不过气，必要时还可以使用CT、核酸检测确诊。	深呼吸再憋十秒可测是否有肺炎
zh	entailment	目前密切接触者已解除医学观察11108人，尚有1974人正在接受医学观察	                    福建省新型冠状病毒肺炎疫情情况                
zh	entailment	为了缓解疫情影响，扶持企业和个人渡过难关，多国政府出台了经济援助计划，随着疫情趋缓，一些国家开始复工复产，逐步恢复正常生活	多国开始复工复产，政府推刺激计划提振经济
zh	contradiction	一般情况下，公众外出回家后不需要专门洗头或消毒。人感染病毒需要一定的条件，比如飞沫中的病毒量、病毒活性等。目前研究显示病毒对紫外线和 ...	每次外出回家都需要洗头
zh	entailment	此次由国家卫生健康委组建、广东省卫生健康委选派的专家组成员共 8 人，专业包括临床医学、中医、心理卫生和公共卫生等	目的地马来西亚！广东抗疫专家组再次启程
zh	contradiction	在国家卫健委印发的《新型冠状病毒感染的肺炎诊疗方案（试行第四版）》中显示，新型冠状病毒经呼吸道飞沫 ...	新冠病毒通过眼神对视传播
zh	contradiction	当地时间1月30日晚（北京时间1月31日凌晨），世卫组织（WHO）在日内瓦宣布：将新型冠状病毒肺炎疫情列为国际关注的突发公共卫生事件（Public ...	中国被列入「疫区国」
zh	entailment	新加坡副总理兼财政部长王瑞杰20日表示新冠肺炎疫情对全球供应链及食品、生活必需品和其他物资的生产造成巨大压力，政府将加倍努力，协助企业增加本地食品产量，提高新加坡在粮食安全上的韧性	新加坡政府将提高本地粮食产量 应对供应链压力
zh	contradiction	不信谣 ...	新冠肺炎病人的肺部损伤不可逆
zh	entailment	为做好疫情防控，开展入院患者核酸检测，同时满足社会化新冠病毒核酸检测需求，成都市卫健委将可进行核酸检测样本采集及检测的医疗机构及第三方检测机构进行公告，有意愿进行核酸检测的组织机构或个人可前往相关医疗机构采样检测	成都10家机构面向社会开放 可做新冠病毒核酸检测
zh	entailment	二是洗手，用肥皂、洗衣液洗手是比较彻底的办法	五一期间个人防护要点：在景区游览要注意体温变化 口罩要戴
zh	entailment	6月1日晚，纽约市自1943年以来首次实施宵禁，宵禁时间从23点到第二天凌晨5点	美国纽约市长宣布延长宵禁至7日晚
zh	entailment	官方公布的死因为心脏病	布隆迪总统皮埃尔·恩库伦齐扎病逝
zh	entailment	5月16日早上7时50分，随着第一位患者张先生出示预约记录，通过现场扫码、测量体温后，走进武汉大学人民医院东院区门诊心血管内科余锂镭教授的诊室，该院区在历经110天抗击新冠肺炎疫情后正式全面恢复	武汉市所有医院恢复日常医疗服务
zh	contradiction	有传言称公共厕所等处的干手器可在30秒内杀死新型冠状病毒。对此，世卫组织专门辟谣说，干手器不能有效杀死新型冠状病毒。为防止感染病毒，应 ...	干手器能在 30 秒内杀死新冠病毒
zh	entailment	世卫组织紧急项目负责人瑞安表示，会在未来几天为中国办事处团队配备更多专业力量	世卫组织不认为北京疫情失去控制
zh	entailment	今后，政府计划对旅游和餐厅行业的经营者等进行协调，为暑假的旅行季做准备	日本在7月底将实施旅游刺激措施 预计将投入1.7万亿日元
zh	contradiction	2020-03-04 12:32. Your browser does not support the video tag. [编辑：王进] ...	候鸟迁徙会携带传播新冠病毒
zh	entailment	5月15日，亚洲开发银行发布了一份报告《新冠疫情潜在经济影响的最新评估》	亚行：新冠疫情使全球经济损失可能达8.8万亿美元
zh	contradiction	近日网上有谣言称：用了7天的N95口罩用吹风机吹或酒精消毒可继续用。一般而言，口罩都是一次性使用的。在特殊情况下（比如口罩供应不足），N95 ...	用了7天的N95口罩酒精消毒可继续用
zh	entailment	这是美国总统动用《国防生产法案》授权后签署的第一份呼吸机生产合同	美政府与通用汽车签署呼吸机生产合同
zh	contradiction	... 保障部门人员必须驾车出行的，要予以保障，所有运输货物车辆不限行，警车属特种车辆不限行。	十堰为限行全城开启红灯
zh	entailment	4月7日，《金融时报》报道称，塞拉利昂只有一台呼吸机，而该国却有约750万人口	全球卫生系统最薄弱国家告急！全国750万人仅有一台呼吸机
zh	entailment	霍曼说：“我们认为，东京奥运会几乎不可能如期举办，现在必须考虑其他替代选项	德国奥林匹克体育同盟：建议东京奥运会推迟一年
zh	contradiction	今日(25日)，微信群和朋友圈出现各种“钟南山院士建议全中国人民在家隔离两周”的传言，微博上更有网传聊天截图，称钟院士也被传染新型冠状 ...	钟南山：全国人民在家隔离两周
zh	contradiction	急救改用吸痰机，武汉疫情死亡人数减半”是谣言，华中科技大学同济医学院法医系教授刘良在自己的自媒体上辟谣。我们不是专业人士，不去探讨 ...	改用吸痰机后，武汉死亡人数减半
zh	entailment	中国物流与采购联合会今天（27日）公布一季度物流运行数据	一季度全国社会物流总额56.0万亿元 同比下降7.5%
